,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
57983,1,6,2,6,1,0,0,3,9999999,9999999,9999999,4,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1675
57987,1,6,2,10,1,0,0,3,9999999,9999999,9999999,1,21,-0.7071067811865477,0.7071067811865474,3.2188758248682006,2100
57989,1,2,3,2,1,0,0,3,9999999,4,2,1,6,1.0,6.123233995736766e-17,3.2188758248682006,625
57995,1,2,5,2,1,0,0,3,3,3,11,3,23,-0.25881904510252157,0.9659258262890681,3.4965075614664802,2308
57997,5,2,1,2,1,0,0,3,9999999,9,5,1,13,-0.2588190451025208,-0.9659258262890683,3.332204510175204,1305
58000,6,5,1,5,2,0,0,3,9999999,9,5,1,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1483
58003,3,2,1,1,1,0,0,3,9999999,9,7,2,6,1.0,6.123233995736766e-17,3.1354942159291497,635
58005,3,14,1,3,1,0,0,3,9999999,9,7,2,8,0.8660254037844387,-0.49999999999999983,3.1354942159291497,835
58007,5,13,1,6,2,0,0,3,9999999,9,7,1,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1483
58019,1,2,2,2,1,0,0,3,3,9,1,2,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
